Y	X	Z
10256.42	3972.99	-553.88
10256.92	4067.99	-553.88
10256.67	4162.99	-553.13
10256.01	4257.98	-552.64
10255.93	4352.98	-552.97
10256.51	4447.98	-553.3
10257	4542.98	-553.47
10257.58	4637.98	-553.8
10257.91	4731.97	-555.11
10257.66	4826.95	-557.02
10257.66	4921.93	-559.17
10257.91	5016.87	-562.57
10258.49	5111.78	-566.63
10258.83	5206.71	-570.11

Y	X	Z
99.99	-0.55	-0.27
199.99	-1.18	-0.93
299.99	-1.22	-1.73
399.99	-1.01	-2.55
499.99	-0.66	-3.17
599.99	-0.28	-3.42
699.99	0.05	-3.38
799.99	0.26	-3.27
899.99	0.44	-3.03
999.99	0.66	-2.66
1099.99	1.04	-2.25
1199.98	1.93	-1.46
1299.96	3.41	-0.09
1399.93	5.14	1.66
1499.9	7.04	3.44
1699.83	10.96	7.1
1799.8	11.97	9.3
1899.77	11.32	11.61
1999.74	9.13	13.15
2099.68	5.91	12.97
2199.57	1.83	10.61
2299.37	-2.66	6.2
2461.99	-8.41	-3.42
2493.91	-9.21	-5.5
2524.84	-9.89	-7.52
2555.76	-10.56	-9.52
2649.63	-13.32	-13.52
2743.61	-15	-14.25
2838.6	-15.04	-13.43
2932.6	-15.22	-12.22
3026.58	-15.38	-10.34
3120.57	-15.72	-9.39
3214.57	-16.51	-9.98
3308.56	-17.45	-10.63
3402.56	-18.36	-11.34
3496.55	-19.46	-12.04
3590.54	-20.64	-12.62
3684.53	-21.72	-13
3779.53	-22.83	-13.32
3873.52	-23.96	-13.52
3967.52	-25.02	-13.65
4061.51	-25.98	-13.86
4155.51	-26.78	-14.04
4249.51	-27.67	-14.02
4343.48	-29.46	-13.11
4437.47	-30.51	-11.64
4532.46	-30.35	-10.59
4625.46	-30.41	-10.24
4720.46	-30.88	-10.57
4814.46	-31.5	-10.7
4908.46	-31.94	-10.22
5002.45	-32.75	-9.42
5096.44	-33.84	-8.32
5190.43	-33.69	-7.23
5284.42	-32.35	-6.43
5379.41	-31.44	-5.76
5473.41	-31.31	-4.95
5567.4	-31.71	-3.79
